type,timestamp,request_processing_time,target_processing_time,response_processing_time,elb_status_code,target_status_code,received_bytes,sent_bytes,http_method,request_creation_time,actions_executed,rows_param,status_class,q_param,request_type,instance_id,target_ip,minute_bucket,top_inst
https,2026-01-01T00:00:00.089444Z,0.000012,0.011181,0.000008,200,200,848,8168,GET,2026-01-01T00:00:00.078263Z,forward,24,2xx,term19,search,tenant-alpha,192.0.2.12,2026-01-01T00:00:00,True
https,2026-01-01T00:00:00.135887Z,0.000012,0.009287,0.000008,200,200,864,29821,GET,2026-01-01T00:00:00.126600Z,forward,10,2xx,term27,search,tenant-alpha,192.0.2.10,2026-01-01T00:00:00,True
https,2026-01-01T00:00:00.342112Z,0.000012,0.016323,0.000008,200,200,350,16488,GET,2026-01-01T00:00:00.325789Z,forward,10,2xx,term18,search,tenant-beta,192.0.2.11,2026-01-01T00:00:00,False
https,2026-01-01T00:00:00.597121Z,0.000012,0.162683,0.000008,200,200,485,8753,GET,2026-01-01T00:00:00.434438Z,forward,50,2xx,term19,search,tenant-beta,192.0.2.11,2026-01-01T00:00:00,False
https,2026-01-01T00:00:00.620001Z,0.000012,0.165061,0.000008,200,200,808,46590,GET,2026-01-01T00:00:00.454940Z,forward,50,2xx,term14,browse,tenant-beta,192.0.2.11,2026-01-01T00:00:00,False
https,2026-01-01T00:00:00.636232Z,0.000012,0.005126,0.000008,200,200,549,7364,GET,2026-01-01T00:00:00.631106Z,forward,50,2xx,term10,browse,tenant-alpha,192.0.2.11,2026-01-01T00:00:00,True
https,2026-01-01T00:00:00.900498Z,0.000012,0.007935,0.000008,200,200,455,34044,GET,2026-01-01T00:00:00.892563Z,forward,24,2xx,term2,search,tenant-alpha,192.0.2.12,2026-01-01T00:00:00,True
https,2026-01-01T00:00:01.073019Z,0.000012,0.010250,0.000008,200,200,893,54225,GET,2026-01-01T00:00:01.062769Z,forward,24,2xx,term3,search,tenant-gamma,192.0.2.11,2026-01-01T00:00:00,False
https,2026-01-01T00:00:01.471821Z,0.000012,0.280524,0.000008,200,200,695,45820,GET,2026-01-01T00:00:01.191297Z,forward,24,2xx,term1,browse,tenant-beta,192.0.2.11,2026-01-01T00:00:00,False
https,2026-01-01T00:00:01.235225Z,0.000012,0.007132,0.000008,200,200,700,59109,GET,2026-01-01T00:00:01.228093Z,forward,24,2xx,term3,search,tenant-alpha,192.0.2.11,2026-01-01T00:00:00,True
https,2026-01-01T00:00:01.337264Z,0.000012,0.006457,0.000008,200,200,863,20246,GET,2026-01-01T00:00:01.330807Z,forward,50,2xx,term14,browse,tenant-alpha,192.0.2.12,2026-01-01T00:00:00,True
https,2026-01-01T00:00:01.768413Z,0.000012,0.006440,0.000008,200,200,538,2790,GET,2026-01-01T00:00:01.761973Z,forward,24,2xx,term27,search,tenant-gamma,192.0.2.11,2026-01-01T00:00:00,False
https,2026-01-01T00:00:01.838838Z,0.000012,0.010627,0.000008,200,200,626,10224,GET,2026-01-01T00:00:01.828211Z,forward,50,2xx,term28,search,tenant-alpha,192.0.2.11,2026-01-01T00:00:00,True
https,2026-01-01T00:00:02.373387Z,0.000012,0.085591,0.000008,200,200,406,33557,GET,2026-01-01T00:00:02.287796Z,forward,50,2xx,term13,search,tenant-beta,192.0.2.10,2026-01-01T00:00:00,False
https,2026-01-01T00:00:02.308780Z,0.000012,0.007039,0.000008,200,200,353,8709,GET,2026-01-01T00:00:02.301741Z,forward,10,2xx,term19,search,tenant-alpha,192.0.2.12,2026-01-01T00:00:00,True
https,2026-01-01T00:00:02.334102Z,0.000012,0.010963,0.000008,200,200,558,24766,GET,2026-01-01T00:00:02.323139Z,forward,50,2xx,term12,browse,tenant-alpha,192.0.2.10,2026-01-01T00:00:00,True
https,2026-01-01T00:00:02.366447Z,0.000012,0.018795,0.000008,200,200,619,7628,GET,2026-01-01T00:00:02.347652Z,forward,10,2xx,term4,browse,tenant-alpha,192.0.2.12,2026-01-01T00:00:00,True
https,2026-01-01T00:00:02.417300Z,0.000012,0.008137,0.000008,200,200,856,3772,GET,2026-01-01T00:00:02.409163Z,forward,50,2xx,term10,search,tenant-gamma,192.0.2.12,2026-01-01T00:00:00,False
https,2026-01-01T00:00:03.179325Z,0.000012,0.396718,0.000008,200,200,528,36903,GET,2026-01-01T00:00:02.782607Z,forward,50,2xx,term25,browse,tenant-beta,192.0.2.12,2026-01-01T00:00:00,False
https,2026-01-01T00:00:03.975795Z,0.000012,1.142714,0.000008,200,200,532,15101,GET,2026-01-01T00:00:02.833081Z,forward,50,2xx,term16,search,tenant-gamma,192.0.2.12,2026-01-01T00:00:00,False
https,2026-01-01T00:00:02.847115Z,0.000012,0.008152,0.000008,200,200,652,31309,GET,2026-01-01T00:00:02.838963Z,forward,50,2xx,term12,browse,tenant-alpha,192.0.2.10,2026-01-01T00:00:00,True
https,2026-01-01T00:00:02.896471Z,0.000012,0.007698,0.000008,200,200,301,33422,GET,2026-01-01T00:00:02.888773Z,forward,50,2xx,term12,search,tenant-alpha,192.0.2.12,2026-01-01T00:00:00,True
https,2026-01-01T00:00:02.926305Z,0.000012,0.011987,0.000008,200,200,482,30437,GET,2026-01-01T00:00:02.914318Z,forward,50,2xx,term11,search,tenant-alpha,192.0.2.12,2026-01-01T00:00:00,True
